Country,State,Year,City Name,Type Of Weather,Total Number Of Accidents  (UOM:Number),Number Of Persons Killed In Road Accident (UOM:Number),Number Of Grievously Injured Persons (UOM:Number),Number Of Minor Injured Persons (UOM:Number),Number Of Total Injured Persons (UOM:Number)
India,Haryana,"Financial Year (Apr - Mar), 2019",Faridabad,Others,0,0,0,0,0
India,Haryana,"Financial Year (Apr - Mar), 2019",Faridabad,Rainy,0,0,0,0,0
India,Haryana,"Financial Year (Apr - Mar), 2019",Faridabad,Sunny/Clear,632,243,91,494,585
India,Haryana,"Financial Year (Apr - Mar), 2020",Faridabad,Foggy & Misty,54,20,6,37,43
India,Haryana,"Financial Year (Apr - Mar), 2020",Faridabad,Hail/Sleet,0,0,0,0,0
India,Haryana,"Financial Year (Apr - Mar), 2020",Faridabad,Others,0,0,0,0,0
India,Haryana,"Financial Year (Apr - Mar), 2020",Faridabad,Rainy,0,0,0,0,0
India,Haryana,"Financial Year (Apr - Mar), 2020",Faridabad,Sunny/Clear,435,175,59,319,378
India,Haryana,"Financial Year (Apr - Mar), 2021",Faridabad,Foggy & Misty,48,17,6,35,41
India,Haryana,"Financial Year (Apr - Mar), 2021",Faridabad,Hail/Sleet,0,0,0,0,0
India,Haryana,"Financial Year (Apr - Mar), 2021",Faridabad,Others,0,0,0,0,0
India,Haryana,"Financial Year (Apr - Mar), 2021",Faridabad,Rainy,0,0,0,0,0
India,Haryana,"Financial Year (Apr - Mar), 2021",Faridabad,Sunny/Clear,457,194,57,325,382
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",Srinagar,Foggy & Misty,0,0,0,0,0
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",Srinagar,Hail/Sleet,0,0,0,0,0
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",Srinagar,Others,79,11,0,61,61
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",Srinagar,Rainy,13,0,0,13,13
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",Srinagar,Sunny/Clear,218,34,0,249,249
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",Srinagar,Foggy & Misty,0,0,0,0,0
