State,Year,City Name,Type Of Weather,Total Number Of Accidents  (UOM:Number),Lat,Long
Gujarat,"Financial Year (Apr - Mar), 2020",Rajkot,Sunny/Clear,117,22.291606,70.793217
Gujarat,"Financial Year (Apr - Mar), 2020",Surat,Foggy & Misty,14,21.195944,72.830232
Gujarat,"Financial Year (Apr - Mar), 2020",Surat,Hail/Sleet,0,21.195944,72.830232
Gujarat,"Financial Year (Apr - Mar), 2020",Surat,Others,0,21.195944,72.830232
Gujarat,"Financial Year (Apr - Mar), 2020",Surat,Rainy,98,21.195944,72.830232
Gujarat,"Financial Year (Apr - Mar), 2020",Surat,Sunny/Clear,463,21.195944,72.830232
Gujarat,"Financial Year (Apr - Mar), 2020",Vadodara,Foggy & Misty,0,22.299405,73.208119
Gujarat,"Financial Year (Apr - Mar), 2020",Vadodara,Hail/Sleet,0,22.299405,73.208119
Gujarat,"Financial Year (Apr - Mar), 2020",Vadodara,Others,0,22.299405,73.208119
Gujarat,"Financial Year (Apr - Mar), 2020",Vadodara,Rainy,36,22.299405,73.208119
Gujarat,"Financial Year (Apr - Mar), 2020",Vadodara,Sunny/Clear,445,22.299405,73.208119
Gujarat,"Financial Year (Apr - Mar), 2021",Ahmedabad,Foggy & Misty,0,23.025793,72.587265
Gujarat,"Financial Year (Apr - Mar), 2021",Ahmedabad,Hail/Sleet,0,23.025793,72.587265
Gujarat,"Financial Year (Apr - Mar), 2021",Ahmedabad,Others,0,23.025793,72.587265
Gujarat,"Financial Year (Apr - Mar), 2021",Ahmedabad,Rainy,1,23.025793,72.587265
Gujarat,"Financial Year (Apr - Mar), 2021",Ahmedabad,Sunny/Clear,1432,23.025793,72.587265
Gujarat,"Financial Year (Apr - Mar), 2021",Rajkot,Foggy & Misty,8,22.291606,70.793217
Gujarat,"Financial Year (Apr - Mar), 2021",Rajkot,Hail/Sleet,0,22.291606,70.793217
Gujarat,"Financial Year (Apr - Mar), 2021",Rajkot,Others,0,22.291606,70.793217
